Data Import Template,,,
Table:,Item Price,,
,,,
,,,
Notes:,,,
Please do not change the template headings.,,,
First data column must be blank.,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,
"For updating, you can update only selective columns.",,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,
,,,
DocType:,Item Price,,
Column Labels:,Item Code,Price List,Rate
Column Name:,item_code,price_list,price_list_rate
Mandatory:,Yes,Yes,Yes
Type:,Link,Link,Currency
Info:,Valid Item,Valid Price List,
Start entering data below this line,,,
,1DR,Standard Selling,100
,2DR,Standard Selling,20
,3DR,Standard Selling,20
,4DR,Standard Selling,150
,5DR,Standard Selling,50
,6DR,Standard Selling,40
,7DR,Standard Selling,50
,8DR,Standard Selling,100
,9DR,Standard Selling,10
,10DR,Standard Selling,20
,11DR,Standard Selling,25
,12DR,Standard Selling,30
,13DR,Standard Selling,35
,14DR,Standard Selling,40
,15DR,Standard Selling,50
,16DR,Standard Selling,80
,17DR,Standard Selling,20
,18DR,Standard Selling,100
,19DR,Standard Selling,150
,20DR,Standard Selling,150
,21DR,Standard Selling,50
,22DR,Standard Selling,100
,23DR,Standard Selling,150
,24DR,Standard Selling,20
,25DR,Standard Selling,30
,26DR,Standard Selling,20
,27DR,Standard Selling,20
,28DR,Standard Selling,200
,29DR,Standard Selling,30
,30DR,Standard Selling,60
,31DR,Standard Selling,70
,32DR,Standard Selling,80
,33DR,Standard Selling,50
,34DR,Standard Selling,70
,35DR,Standard Selling,60
,36DR,Standard Selling,80
,37DR,Standard Selling,90
,38DR,Standard Selling,30
,39DR,Standard Selling,40
,40DR,Standard Selling,50
,41DR,Standard Selling,60
,42DR,Standard Selling,100
,43DR,Standard Selling,60
,44DR,Standard Selling,40
,45DR,Standard Selling,20
,46DR,Standard Selling,20
,47DR,Standard Selling,30
,48DR,Standard Selling,40
,49DR,Standard Selling,20
,50DR,Standard Selling,50
,51DR,Standard Selling,60
,52DR,Standard Selling,30
,53DR,Standard Selling,20
,54DR,Standard Selling,30
,55DR,Standard Selling,40
,56DR,Standard Selling,50
,57DR,Standard Selling,70
,58DR,Standard Selling,80
,59DR,Standard Selling,90
,60DR,Standard Selling,100
,61DR,Standard Selling,150
,62DR,Standard Selling,200
,63DR,Standard Selling,250
,64DR,Standard Selling,100
,65DR,Standard Selling,150
,66DR,Standard Selling,120
,67DR,Standard Selling,160
,68DR,Standard Selling,50
,69DR,Standard Selling,30
,70DR,Standard Selling,20
,71DR,Standard Selling,10
,72DR,Standard Selling,20
,73DR,Standard Selling,30
,74DR,Standard Selling,10
,75DR,Standard Selling,20
,76DR,Standard Selling,30
,77DR,Standard Selling,50
,78DR,Standard Selling,60
,79DR,Standard Selling,70
,80DR,Standard Selling,80
,81DR,Standard Selling,100
,82DR,Standard Selling,150
,83DR,Standard Selling,100
,84DR,Standard Selling,100
,85DR,Standard Selling,150
,86DR,Standard Selling,100
,87DR,Standard Selling,50
,88DR,Standard Selling,20
,89DR,Standard Selling,30
,90DR,Standard Selling,40
,91DR,Standard Selling,100
,92DR,Standard Selling,100
,93DR,Standard Selling,150
,94DR,Standard Selling,200
,95DR,Standard Selling,90
,96DR,Standard Selling,100
,97DR,Standard Selling,30
,98DR,Standard Selling,50
,99DR,Standard Selling,30
,100DR,Standard Selling,20
,101DR,Standard Selling,30
,102DR,Standard Selling,40
,103DR,Standard Selling,50
,104DR,Standard Selling,30
,105DR,Standard Selling,60
,106DR,Standard Selling,40
,107DR,Standard Selling,30
,108DR,Standard Selling,20
,109DR,Standard Selling,10
,110DR,Standard Selling,20
,111DR,Standard Selling,30
,112DR,Standard Selling,40
,113DR,Standard Selling,30
,114DR,Standard Selling,20
,115DR,Standard Selling,50
,116DR,Standard Selling,40
,117DR,Standard Selling,60
,118DR,Standard Selling,10
,119DR,Standard Selling,20
,120DR,Standard Selling,50
,121DR,Standard Selling,60
,122DR,Standard Selling,70
,123DR,Standard Selling,50
,124DR,Standard Selling,30
,125DR,Standard Selling,20
,126DR,Standard Selling,50
,127DR,Standard Selling,40
,128DR,Standard Selling,100
,129DR,Standard Selling,150
,130DR,Standard Selling,10
,131DR,Standard Selling,20
,132DR,Standard Selling,30
,133DR,Standard Selling,200
,134DR,Standard Selling,50
,135DR,Standard Selling,60
,136DR,Standard Selling,50
,137DR,Standard Selling,80
,138DR,Standard Selling,30
,139DR,Standard Selling,50
,140DR,Standard Selling,50
,141DR,Standard Selling,30
,142DR,Standard Selling,20
,143DR,Standard Selling,40
,144DR,Standard Selling,20
,145DR,Standard Selling,50
,146DR,Standard Selling,10
,147DR,Standard Selling,20
,148DR,Standard Selling,30
,149DR,Standard Selling,40
,150DR,Standard Selling,20
,151DR,Standard Selling,30
,152DR,Standard Selling,30
,153DR,Standard Selling,100
,154DR,Standard Selling,50
,155DR,Standard Selling,30
,156DR,Standard Selling,40
