Data Import Template,,,
Table:,Item Price,,
,,,
,,,
Notes:,,,
Please do not change the template headings.,,,
First data column must be blank.,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,
"For updating, you can update only selective columns.",,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,
,,,
DocType:,Item Price,,
Column Labels:,Item Code,Price List,Rate
Column Name:,item_code,price_list,price_list_rate
Mandatory:,Yes,Yes,Yes
Type:,Link,Link,Currency
Info:,Valid Item,Valid Price List,
Start entering data below this line,,,
,1NP,Standard Selling,2443
,2NP,Standard Selling,128
,3NP,Standard Selling,178
,4NP,Standard Selling,178
,5NP,Standard Selling,178
,6NP,Standard Selling,178
,7NP,Standard Selling,178
,8NP,Standard Selling,342
,9NP,Standard Selling,13439
,10NP,Standard Selling,13165
,11NP,Standard Selling,11844
,12NP,Standard Selling,581
,13NP,Standard Selling,171
,14NP,Standard Selling,174
,15NP,Standard Selling,174
,16NP,Standard Selling,174
,17NP,Standard Selling,295
,18NP,Standard Selling,270
,19NP,Standard Selling,851
,20NP,Standard Selling,60
,21NP,Standard Selling,60
,22NP,Standard Selling,179
,23NP,Standard Selling,179
,24NP,Standard Selling,195
,25NP,Standard Selling,227
,26NP,Standard Selling,227
,27NP,Standard Selling,120
,28NP,Standard Selling,120
,29NP,Standard Selling,1996
,30NP,Standard Selling,1455
,31NP,Standard Selling,1375
,32NP,Standard Selling,1933
,33NP,Standard Selling,1420
,34NP,Standard Selling,1420
,35NP,Standard Selling,128
,36NP,Standard Selling,140
,37NP,Standard Selling,2092
,38NP,Standard Selling,2527
,39NP,Standard Selling,387
,40NP,Standard Selling,134
,41NP,Standard Selling,123
,42NP,Standard Selling,984
,43NP,Standard Selling,1382
,44NP,Standard Selling,521
,45NP,Standard Selling,100
,46NP,Standard Selling,340
,47NP,Standard Selling,230
,48NP,Standard Selling,400
,49NP,Standard Selling,400
,50NP,Standard Selling,340
,51NP,Standard Selling,261
,52NP,Standard Selling,261
,53NP,Standard Selling,240
,54NP,Standard Selling,205
,55NP,Standard Selling,228
,56NP,Standard Selling,246
,57NP,Standard Selling,261
,58NP,Standard Selling,261
,59NP,Standard Selling,261
,60NP,Standard Selling,335
,61NP,Standard Selling,277
,62NP,Standard Selling,277
,63NP,Standard Selling,59
,64NP,Standard Selling,64
,65NP,Standard Selling,59
,66NP,Standard Selling,60
,67NP,Standard Selling,85
,68NP,Standard Selling,82
,69NP,Standard Selling,66
,70NP,Standard Selling,65
,71NP,Standard Selling,65
,72NP,Standard Selling,65
,73NP,Standard Selling,80
,74NP,Standard Selling,1387
,75NP,Standard Selling,2630
,76NP,Standard Selling,8300
,77NP,Standard Selling,600
,78NP,Standard Selling,600
,79NP,Standard Selling,2630
,80NP,Standard Selling,2630
,81NP,Standard Selling,120
,82NP,Standard Selling,20
,83NP,Standard Selling,1100
,84NP,Standard Selling,1100
,85NP,Standard Selling,1100
,86NP,Standard Selling,1100
,87NP,Standard Selling,3780
,88NP,Standard Selling,100
,89NP,Standard Selling,100
,90NP,Standard Selling,2500
,91NP,Standard Selling,2500
,92NP,Standard Selling,2500
,93NP,Standard Selling,2500
,94NP,Standard Selling,2500
,95NP,Standard Selling,2500
,96NP,Standard Selling,300
,97NP,Standard Selling,450
,98NP,Standard Selling,6500
,99NP,Standard Selling,860
,100NP,Standard Selling,400
,101NP,Standard Selling,400
,102NP,Standard Selling,400
,103NP,Standard Selling,400
,104NP,Standard Selling,2798
,105NP,Standard Selling,688
,106NP,Standard Selling,644
,107NP,Standard Selling,672
,108NP,Standard Selling,120
,109NP,Standard Selling,200
,110NP,Standard Selling,1977
,111NP,Standard Selling,247
,112NP,Standard Selling,247
,113NP,Standard Selling,247
,114NP,Standard Selling,543
,115NP,Standard Selling,3000
,116NP,Standard Selling,3300
,117NP,Standard Selling,6100
,118NP,Standard Selling,6100
,119NP,Standard Selling,6100
,120NP,Standard Selling,4382
,121NP,Standard Selling,4382
,122NP,Standard Selling,4382
,123NP,Standard Selling,500
,124NP,Standard Selling,200
,125NP,Standard Selling,300
,126NP,Standard Selling,401
,127NP,Standard Selling,8600
,128NP,Standard Selling,1575
,129NP,Standard Selling,1742
,130NP,Standard Selling,1133
,131NP,Standard Selling,886
,132NP,Standard Selling,5205
,133NP,Standard Selling,7237
,134NP,Standard Selling,150
,135NP,Standard Selling,63
,136NP,Standard Selling,67
,137NP,Standard Selling,61
,138NP,Standard Selling,70
,139NP,Standard Selling,63
,140NP,Standard Selling,56
,141NP,Standard Selling,20
,142NP,Standard Selling,61
,143NP,Standard Selling,61
,144NP,Standard Selling,70
,145NP,Standard Selling,67
,146NP,Standard Selling,433
,147NP,Standard Selling,693
,148NP,Standard Selling,647
,149NP,Standard Selling,501
,150NP,Standard Selling,433
,151NP,Standard Selling,402
,152NP,Standard Selling,14735
,153NP,Standard Selling,3050
