Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Item,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,Item,,,,~,~,Item Reorder,reorder_levels,,~,~,Item Variant Attribute,attributes,~,Item Default,item_defaults,~,~,Item Customer Detail,customer_items,~,Item Tax,taxes,~,Website Item Group,website_item_groups,~
Column Labels:,Item Code,Item Group,Default Unit of Measure,Item Name,,,Request for,Re-order Level,Material Request Type,,,Attribute,,,Company,,,,Ref Code,,,Tax,,,Item Group,,
Column Name:,item_code,item_group,stock_uom,item_name,~,~,warehouse,warehouse_reorder_level,material_request_type,~,~,attribute,~,~,company,~,~,~,ref_code,~,~,tax_type,~,~,item_group,~,~
Mandatory:,Yes,Yes,Yes,No,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,,,Yes,,,Yes,,
Type:,Data,Link,Link,Data,,,Link,Float,Select,,,Link,,,Link,,,,Data,,,Link,,,Link,,
Info:,,Valid Item Group,Valid UOM,,,,Valid Warehouse,,"One of: Purchase, Transfer, Material Issue, Manufacture",,,Valid Item Attribute,,,Valid Company,,,,,,,Valid Account,,,Valid Item Group,,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1NP,Non-Pharms,100s,Abdominal Gauze Swabs,,,,,,,,,,,,,,,,,,,,,,,
,2NP,Non-Pharms,Piece,Absorbent Material for incontinence,,,,,,,,,,,,,,,,,,,,,,,
,3NP,Non-Pharms,Piece,"Airway,Guedel,size 0",,,,,,,,,,,,,,,,,,,,,,,
,4NP,Non-Pharms,Piece,"Airway,Guedel,size 00",,,,,,,,,,,,,,,,,,,,,,,
,5NP,Non-Pharms,Piece,"Airway,Guedel,size 1",,,,,,,,,,,,,,,,,,,,,,,
,6NP,Non-Pharms,Piece,"Airway,Guedel,size 2",,,,,,,,,,,,,,,,,,,,,,,
,7NP,Non-Pharms,Piece,"Airway,Guedel,size 4",,,,,,,,,,,,,,,,,,,,,,,
