Data Import Template,,,
Table:,Item Price,,
,,,
,,,
Notes:,,,
Please do not change the template headings.,,,
First data column must be blank.,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,
"For updating, you can update only selective columns.",,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,
,,,
DocType:,Item Price,,
Column Labels:,Item Code,Price List,Rate
Column Name:,item_code,price_list,price_list_rate
Mandatory:,Yes,Yes,Yes
Type:,Link,Link,Currency
Info:,Valid Item,Valid Price List,
Start entering data below this line,,,
,1A,Standard Selling,10
,2A,Standard Selling,27
,3A,Standard Selling,1.5
,4A,Standard Selling,3
,5A,Standard Selling,11
,6A,Standard Selling,20
,7A,Standard Selling,7
,8A,Standard Selling,40
,9A,Standard Selling,12
,10A,Standard Selling,47
,11A,Standard Selling,3
,12A,Standard Selling,4
,13A,Standard Selling,8
,14A,Standard Selling,56
,15A,Standard Selling,20
,16A,Standard Selling,11
,17A,Standard Selling,15
,18A,Standard Selling,25
,19A,Standard Selling,34
,20A,Standard Selling,30
,21A,Standard Selling,5
,22A,Standard Selling,7.5
,23A,Standard Selling,5
,24A,Standard Selling,3
,25A,Standard Selling,3
,26A,Standard Selling,12
,27A,Standard Selling,140
,28A,Standard Selling,2
,29A,Standard Selling,1
,30A,Standard Selling,2
,31A,Standard Selling,3
,32A,Standard Selling,30
,33A,Standard Selling,15
,34A,Standard Selling,3
,35A,Standard Selling,3
,36A,Standard Selling,3
,37A,Standard Selling,9
,38A,Standard Selling,50
,39A,Standard Selling,50
,40A,Standard Selling,5
,41A,Standard Selling,5
,42A,Standard Selling,2
,43A,Standard Selling,2
,44A,Standard Selling,9
,45A,Standard Selling,3480
,46A,Standard Selling,35
,47A,Standard Selling,15
,48A,Standard Selling,5
,49A,Standard Selling,10
,50A,Standard Selling,1
,51A,Standard Selling,1
,52A,Standard Selling,10
,53A,Standard Selling,5
,54A,Standard Selling,5
,55A,Standard Selling,2
,56A,Standard Selling,20
,57A,Standard Selling,10
,58A,Standard Selling,10
,59A,Standard Selling,10
,60A,Standard Selling,20
,61A,Standard Selling,10
,62A,Standard Selling,40
,63A,Standard Selling,5
,64A,Standard Selling,0
,65A,Standard Selling,23
,66A,Standard Selling,207
,67A,Standard Selling,50
,68A,Standard Selling,0
,69A,Standard Selling,0
,70A,Standard Selling,108
,71A,Standard Selling,0
,72A,Standard Selling,0
,73A,Standard Selling,60
,74A,Standard Selling,254
,75A,Standard Selling,400
,76A,Standard Selling,200
,77A,Standard Selling,0
,78A,Standard Selling,367
,79A,Standard Selling,91
,80A,Standard Selling,0
,81A,Standard Selling,57
,82A,Standard Selling,57
,83A,Standard Selling,50
,84A,Standard Selling,30
,85A,Standard Selling,354
,86A,Standard Selling,100
,87A,Standard Selling,98
,88A,Standard Selling,100
,89A,Standard Selling,0
,90A,Standard Selling,48
,91A,Standard Selling,121
,92A,Standard Selling,50
,93A,Standard Selling,68
,94A,Standard Selling,85
,95A,Standard Selling,0
,96A,Standard Selling,155
,97A,Standard Selling,21
,98A,Standard Selling,630
,99A,Standard Selling,26
,100A,Standard Selling,290
,101A,Standard Selling,30
,102A,Standard Selling,40
,103A,Standard Selling,665
,104A,Standard Selling,250
,105A,Standard Selling,2660
,106A,Standard Selling,0
,107A,Standard Selling,50
,108A,Standard Selling,50
,109A,Standard Selling,111
,110A,Standard Selling,250
,111A,Standard Selling,120
,112A,Standard Selling,150
,113A,Standard Selling,50
,114A,Standard Selling,450
,115A,Standard Selling,210
,116A,Standard Selling,90
,117A,Standard Selling,20
,118A,Standard Selling,50
,119A,Standard Selling,15
,120A,Standard Selling,220
,121A,Standard Selling,1270
,122A,Standard Selling,30
,123A,Standard Selling,50
,124A,Standard Selling,50
,125A,Standard Selling,50
,126A,Standard Selling,50
,127A,Standard Selling,50
,128A,Standard Selling,30
,129A,Standard Selling,0
,130A,Standard Selling,5
,131A,Standard Selling,0
,132A,Standard Selling,0
,133A,Standard Selling,0
,134A,Standard Selling,0
,135A,Standard Selling,0
,136A,Standard Selling,600
,137A,Standard Selling,20
,138A,Standard Selling,0
,139A,Standard Selling,5
,140A,Standard Selling,0
,141A,Standard Selling,100
,142A,Standard Selling,750
,143A,Standard Selling,430
,144A,Standard Selling,270
,145A,Standard Selling,200
,146C,Standard Selling,1
,147C,Standard Selling,5
,148C,Standard Selling,1
,149C,Standard Selling,2
,150C,Standard Selling,10
,151C,Standard Selling,30
,152C,Standard Selling,2
,153C,Standard Selling,0
,154C,Standard Selling,1
,155C,Standard Selling,5
,156C,Standard Selling,8
,157C,Standard Selling,22
,158C,Standard Selling,34
,159C,Standard Selling,72
,160C,Standard Selling,96
,161C,Standard Selling,10
,162C,Standard Selling,30
,163C,Standard Selling,1
,164C,Standard Selling,2
,165C,Standard Selling,5
,166C,Standard Selling,0
,167C,Standard Selling,3
,168C,Standard Selling,5
