Data Import Template,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table:,Item,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,
Please do not change the template headings.,,,,,,,,,,,,,,,,,,,,,,,,,,,
First data column must be blank.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For updating, you can update only selective columns.",,,,,,,,,,,,,,,,,,,,,,,,,,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
DocType:,Item,,,,~,~,Item Reorder,reorder_levels,,~,~,Item Variant Attribute,attributes,~,Item Default,item_defaults,~,~,Item Customer Detail,customer_items,~,Item Tax,taxes,~,Website Item Group,website_item_groups,~
Column Labels:,Item Code,Item Group,Default Unit of Measure,Item Name,,,Request for,Re-order Level,Material Request Type,,,Attribute,,,Company,,,,Ref Code,,,Tax,,,Item Group,,
Column Name:,item_code,item_group,stock_uom,item_name,~,~,warehouse,warehouse_reorder_level,material_request_type,~,~,attribute,~,~,company,~,~,~,ref_code,~,~,tax_type,~,~,item_group,~,~
Mandatory:,Yes,Yes,Yes,No,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,Yes,,,Yes,,,Yes,,
Type:,Data,Link,Link,Data,,,Link,Float,Select,,,Link,,,Link,,,,Data,,,Link,,,Link,,
Info:,,Valid Item Group,Valid UOM,,,,Valid Warehouse,,"One of: Purchase, Transfer, Material Issue, Manufacture",,,Valid Item Attribute,,,Valid Company,,,,,,,Valid Account,,,Valid Item Group,,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5456,Services,Nos,Throat Swab ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5455,Services,Nos,Pus swabs ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5457,Services,Nos,Rectal Swab ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5458,Services,Nos,Urethral Swab ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,1456,Services,Nos,High Vaginal Swab Culture ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5592,Services,Nos,Bacterial Meningitis Serotypes ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5593,Services,Nos,Neisseria Meningitidis A ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5594,Services,Nos,Neisseria Meningitidis B ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5595,Services,Nos,Neisseria Meningitidis C ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5596,Services,Nos,Neisseria Meningitidis W135 ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5597,Services,Nos,Neisseria Meningitidis X ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5598,Services,Nos,Neisseria Meningitidis Y ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5599,Services,Nos,N. Meningitidis  ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5600,Services,Nos,Streptococcus Pneumoniae ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5601,Services,Nos,Haemophilus Influenzae  ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5602,Services,Nos,Cryptococcal Meningitis ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5603,Services,Nos,B. Anthracis ,,,,,,,,,,,HMIS,,,,,,,,,,,,
,5604,Services,Nos,Y. Pestis ,,,,,,,,,,,HMIS,,,,,,,,,,,,
